email,master_customer_id,first_name,last_name,full_name_standardized,phone_standardized,crm_city,signup_date,total_spend,last_order_date,num_orders,total_time_spent_seconds,num_sessions,is_vip,days_since_last_order,segment
tony.mcknight@gmail.com,df84722f-ba36-416d-be01-0c67a041b931,Tony,Mcknight,Tony Mcknight,+18132876261,Colorado Springs,2023-11-09,884.03,2025-05-04,3.0,0.0,0.0,True,13.0,1
elizabeth.montoya@hotmail.com,3528f91d-8d02-45d8-aae9-9cf3608f41d4,Elizabeth,Montoya,Elizabeth Montoya,+15076866734,Colorado Springs,2023-03-28,0.0,,0.0,228.0,2.0,False,,0
sean_nichols@yahoo.com,a02fe374-70d0-4033-8384-4513e609ef75,Sean,Nichols,Sean Nichols,,Columbus,2022-05-19,322.98,2024-09-17,2.0,0.0,0.0,True,242.0,1
sean_nichols@yahoo.com,a02fe374-70d0-4033-8384-4513e609ef75,Randall,Collins,Randall Collins,,Seattle,2023-11-04,322.98,2024-09-17,2.0,0.0,0.0,True,242.0,1
molly.price@yahoo.com,edc3690e-008c-4e3e-aeb6-67b1f6f128b5,Molly,Price,Molly Price,+14374963748,Fort Worth,2025-02-14,595.18,2023-12-20,1.0,0.0,0.0,True,514.0,0
john.owens@hotmail.com,466caa01-e7b4-4d20-af1f-92b36a87049d,John,Owens,John Owens,+19793401284,Seattle,2022-08-26,104.27,2024-03-10,1.0,0.0,0.0,True,433.0,0
robert@taylor.org,3095aefa-cfb3-4fb2-99da-35c4038fb62d,Robert,Anderson,Robert Anderson,,Colorado Springs,2023-02-13,1045.0800000000002,2024-06-01,3.0,0.0,0.0,True,350.0,1
jennifer50@example.org,6eb2576c-d2bb-44dc-91da-583eb0110ecf,Jennifer,Mason,Jennifer Mason,,,2022-09-27,0.0,,0.0,342.0,2.0,False,,0
jennifer50@example.org,6eb2576c-d2bb-44dc-91da-583eb0110ecf,Jessica,Smith,Jessica Smith,,Atlanta,2023-07-24,0.0,,0.0,342.0,2.0,False,,0
scott_johnson48@yahoo.com,3b03f04d-c93f-4510-9861-0ba6103b1ce3,Scott,Johnson,Scott Johnson,,Los Angeles,2024-11-03,0.0,,0.0,0.0,0.0,False,,0
ganderson@hotmail.com,a9a4f027-d84f-4824-92e5-b5e23fa511e6,George,Anderson,George Anderson,,Tampa,2023-11-12,1170.63,2024-03-28,2.0,0.0,0.0,True,415.0,1
karen.ochoa51@yahoo.com,cc88f917-263d-4682-bfb9-faf5483df74b,,,,,,,64.62,2023-12-11,1.0,0.0,0.0,False,523.0,0
rgrant@hotmail.com,d27fb30a-39c1-40f5-b74a-c4922781e061,Ryan,Grant,Ryan Grant,,Fort Worth,2024-10-20,0.0,,0.0,0.0,0.0,False,,0
anthony.burton@yahoo.com,dd9d03c0-3d26-4ed4-8dd0-273907fc51b7,Anthony,Burton,Anthony Burton,,Washington,2024-01-07,97.16,2023-07-29,1.0,0.0,0.0,False,658.0,0
carl.barrett@gmail.com,4bf0e7ef-8e4a-4320-a6cf-2bcfcd94d1ea,Carl,Barrett,Carl Barrett,,Tulsa,2024-05-05,533.54,2024-08-17,2.0,0.0,0.0,True,273.0,1
jbenton@gmail.com,129bab4a-676c-4ad6-a0fd-d72096cd489d,Jacqueline,Benton,Jacqueline Benton,+19472067831,Raleigh,2023-07-13,0.0,,0.0,0.0,0.0,False,,0
angela.gray@gmail.com,c317d2a9-ce9b-440d-b8a8-7151010df9f8,Angela,Gray,Angela Gray,,Raleigh,2023-12-18,360.96,2024-05-27,1.0,0.0,0.0,True,355.0,0
jeffery.duran@yahoo.com,7aa26f8b-0edc-45e5-a332-34b57ef5733c,Jeffery,Duran,Jeffery Duran,,Columbus,2024-10-27,0.0,,0.0,0.0,0.0,False,,0
steve.ray@yahoo.com,20edb795-9068-4055-b96b-e95d80ad9113,Steve,Ray,Steve Ray,+13479448294,FL,2022-12-24,0.0,,0.0,0.0,0.0,False,,0
jeanne.ochoa45@gmail.com,1fd8845e-1ae9-416b-9275-397e9d3c467c,,,,,,,15.74,2024-04-16,1.0,0.0,0.0,False,396.0,0
erin.moses@gmail.com,b204f4e8-cc07-4fc3-8e52-ccc573d190f6,Erin,Moses,Erin Moses,,Mesa,2023-09-09,1165.37,2024-11-21,2.0,0.0,0.0,True,177.0,1
rachel.ashley45@gmail.com,2c10089a-69fe-40b0-b34d-8558e97a6061,,,,,,,160.63,2024-10-30,1.0,0.0,0.0,True,199.0,0
kevin.simon65@yahoo.com,e08d69c6-afd1-45f6-aab4-9391f2571f23,,,,,,,186.13,2025-01-16,1.0,476.0,1.0,True,121.0,0
robert.vang62@gmail.com,383a138e-6e66-4bbd-a00c-6d58a5820f99,,,,,,,0.0,,0.0,1801.0,5.0,False,,2
michelle@rojas.com,0fe15be0-ce07-4da4-8119-efc91f160d7b,Michelle,Gutierrez,Michelle Gutierrez,,Arlington,2024-09-17,48.09,2024-09-16,1.0,0.0,0.0,False,243.0,0
melanie.anderson@gmail.com,4f94d2e5-61df-4894-a669-437366922a47,Melanie,Anderson,Melanie Anderson,+19183842247,Omaha,2022-07-06,0.0,,0.0,0.0,0.0,False,,0
walter.vega68@yahoo.com,661ed3be-7e8e-4f08-a3ac-63809c0ea378,,,,,,,0.0,,0.0,1122.0,2.0,False,,2
kristin.mitchell6@gmail.com,10f90489-5084-4d53-85fc-723ee0057685,,,,,,,0.0,,0.0,192.0,2.0,False,,0
mary.fernandez70@hotmail.com,1d591fde-c1fb-4892-9bbc-ade5e828f8ec,,,,,,,47.14,2025-05-11,1.0,0.0,0.0,False,6.0,0
llewis@example.com,b6ec4ec1-814f-4b24-8564-44c874ce39d1,Robert,Kim,Robert Kim,,Phoenix,2024-09-01,0.0,,0.0,0.0,0.0,False,,0
matthew.torres@hotmail.com,bf736846-a50d-47e0-9b8d-73aba1200cda,Matthew,Torres,Matthew Torres,+19034631831,New Orleans,2022-10-14,267.8,2024-01-01,1.0,0.0,0.0,True,502.0,0
debra_barton8@gmail.com,342f6910-40b2-4990-80ea-340e9d67fb7d,Debra,Barton,Debra Barton,,Columbus,2022-07-27,73.18,2024-06-15,1.0,0.0,0.0,False,336.0,0
madison@ramirez.com,baa075c0-aa24-4904-980c-ed9856a57218,Madison,Williamson,Madison Williamson,,Mesa,2022-11-24,0.0,,0.0,0.0,0.0,False,,0
madison@ramirez.com,baa075c0-aa24-4904-980c-ed9856a57218,Carol,Garcia,Carol Garcia,,Long Beach,2023-06-22,0.0,,0.0,0.0,0.0,False,,0
xholland@example.com,71e3792a-01b0-459d-861b-e68afcc98199,Heather,Smith,Heather Smith,+14344337133,Portland,2022-09-30,0.0,,0.0,0.0,0.0,False,,0
xholland@example.com,71e3792a-01b0-459d-861b-e68afcc98199,Kenneth,Patel,Kenneth Patel,,Sacramento,2023-05-24,0.0,,0.0,0.0,0.0,False,,0
xholland@example.com,71e3792a-01b0-459d-861b-e68afcc98199,April,Knight,April Knight,,Philadelphia,2023-11-28,0.0,,0.0,0.0,0.0,False,,0
linda_howell45@hotmail.com,295093fe-098e-471e-a9b1-522860e3a919,Linda,Howell,Linda Howell,,Minneapolis,2025-02-22,1174.17,2024-11-24,1.0,0.0,0.0,True,174.0,1
wturner@example.com,224905d6-978c-439e-a593-8190d01905ba,Kimberly,Young,Kimberly Young,,New York,2024-09-19,985.6800000000001,2024-12-28,4.0,0.0,0.0,True,140.0,1
mary.hardin@hotmail.com,84eb6a7b-89b2-4e41-899c-1a75f617ddbc,Mary,Hardin,Mary Hardin,,Tulsa,2023-12-12,401.26,2024-03-13,1.0,0.0,0.0,True,430.0,0
amy.stewart67@hotmail.com,ed920553-8bb2-4009-ba07-93bda1bd2be9,,,,,,,206.98,2023-11-23,1.0,0.0,0.0,True,541.0,0
stephen.ellis62@hotmail.com,723f0a47-2e62-47d3-b3b8-c493c5f5d552,,,,,,,129.59,2023-05-19,1.0,0.0,0.0,True,729.0,0
leah.petersen@yahoo.com,3a4fafd8-d72a-4603-bee0-8a48bc549be5,Leah,Petersen,Leah Petersen,,Nashville,2024-12-25,0.0,,0.0,0.0,0.0,False,,0
jane.smith@example.com,43ec3caf-4485-4174-9a92-fe852eec07f6,Jane,Smith,Jane Smith,,Los Angeles,2023-02-20,25.0,2023-05-05,1.0,60.0,1.0,False,743.0,0
blackwelljulie@example.org,e5f1b0a3-a7b1-4007-8c6e-47164d6bfe51,Julia,Smith,Julia Smith,,Columbus,2024-06-25,119.99,2024-10-17,1.0,0.0,0.0,True,212.0,0
christopher.sawyer84@hotmail.com,2dc05b0a-2390-4dc1-95e0-38062abc7b5f,,,,,,,0.0,,0.0,687.0,4.0,False,,0
johnsmith@example.org,bcd61ece-e789-46b0-a8e7-b1cede25c228,Joshua,Wilson,Joshua Wilson,,San Diego,2022-06-12,0.0,,0.0,0.0,0.0,False,,0
breanna.erickson@yahoo.com,39bdd620-9eb9-4ec0-9173-20178b844abe,Breanna,Erickson,Breanna Erickson,+18199369628,Columbus,2025-03-31,1351.16,2023-07-09,1.0,386.0,1.0,True,678.0,1
andrea.smith19@yahoo.com,9618041a-ddb0-4bcb-8db7-ce0e90183311,,,,,,,382.73,2025-04-24,1.0,993.0,4.0,True,23.0,2
jennifer.estrada84@yahoo.com,b276711d-80f1-425d-96d0-131060d450ff,,,,,,,115.46,2023-07-07,1.0,527.0,2.0,True,680.0,0
maria@soto-hartman.com,65f0c274-b309-4da9-8ece-6a76d8d5e774,Maria,Roberts,Maria Roberts,,Tucson,2025-02-01,357.33,2025-03-15,1.0,0.0,0.0,True,63.0,0
dylan.price81@hotmail.com,005eecd3-6fde-4bb0-8d0b-b24e7596a3b6,,,,,,,261.29,2024-03-06,1.0,0.0,0.0,True,437.0,0
lisa.gordon61@hotmail.com,83acdbce-1ad4-4580-a5cd-bd8b4c146cfb,,,,,,,0.0,,0.0,379.0,1.0,False,,0
barbara@clarke.org,0ecd210f-246d-47b1-a85a-8d08e4d7991e,Barbara,Francis,Barbara Francis,+18726454461,Herrerachester,2023-06-27,225.79,2024-11-07,1.0,0.0,0.0,True,191.0,0
joshua.phd8@gmail.com,f3331c79-ba6e-40ad-8d3b-e87d78e8b632,,,,,,,73.13,2023-11-18,1.0,0.0,0.0,False,546.0,0
diana.solomon@gmail.com,f6dd1ff6-f307-4a38-8a8e-b133831d8ed5,Diana,Solomon,Diana Solomon,,Omaha,2024-02-10,54.18,2025-01-18,1.0,0.0,0.0,False,119.0,0
emily@donaldson-simmons.com,30c88720-0eaf-4eae-a453-b46f14a0bd1b,Emily,Ali,Emily Ali,+15792675885,Los Angeles,2024-03-26,0.0,,0.0,0.0,0.0,False,,0
matthew.cook@yahoo.com,6a2b42b8-7ce3-410c-b6d0-eff485e793f3,Matthew,Cook,Matthew Cook,+19318533018,Houston,2024-04-24,532.11,2024-12-24,2.0,0.0,0.0,True,144.0,1
jessica.williams@yahoo.com,40a8c755-1594-47fa-a02d-aa0a984f6b34,Jessica,Williams,Jessica Williams,,Fort Worth,2024-06-20,0.0,,0.0,0.0,0.0,False,,0
nancy97@example.net,20d41316-5d79-44c5-9adf-4d87de76a246,Brian,Reynolds,Brian Reynolds Jr.,,Fort Worth,2023-11-03,148.75,2024-02-24,1.0,0.0,0.0,True,448.0,0
monica_kelly@hotmail.com,57e59fea-33ae-4522-b7ce-667dc2ab8454,Monica,Kelly,Monica Kelly,+15399825777,,2024-03-28,1059.72,2025-01-23,2.0,1725.0,8.0,True,114.0,1
anna.taylor87@hotmail.com,ebb1b70c-d4ff-4926-9642-7404f4bd80eb,,,,,,,58.57,2023-05-18,1.0,0.0,0.0,False,730.0,0
mclark@gmail.com,93495635-220c-4b7b-9500-b2c0918d595b,Michael,Clark,Michael Clark,+14055431663,San Diego,2023-01-20,0.0,,0.0,3541.0,8.0,False,,2
