order_id,cust_email,product_name,order_date,order_value,shipping_address
101,john.doe@example.com,Laptop,2023-05-01,1200.0,123 Main St
102,jane.smith@example.com,Mouse,2023-05-05,25.0,456 Oak Ave
103,peter_pan@example.com,Keyboard,2023-05-10,75.0,789 Pine Rd
104,john.doe@example.com,Monitor,2023-06-01,300.0,123 Main St New York NY 10001
105,tracy.maldonado@yahoo.com,Laptop,2023-06-13,1099.96,186 Lisa Grove Apt. 994
106,KRISTINA69@GREESE@EXAMPLE.COM,Mouse,2024-07-12,59.91,881 Patrick Ports Apt. 765
107,xhall@example.net,Gaming Console,2024-11-23,496.35,1220 Joanna Lock
108,kathleen_clark15@hotmail.com,Tablet,2023-12-25,596.33,0423 Taylor Cove
109,kaitlyn@stevens-soto.com,Router,2025-03-18,233.57,650 Brandon Fields
110,NICHOLAS10@PHOWARD@EXAMPLE.COM,Monitor,2024-01-20,247.24,144 Melissa Square
111,robin.odom@hotmail.com,Smartphone,2024-11-10,742.49,554 Lewis Walk Apt. 534
112,CRYSTAL_RYAN15@HOTMAIL.COM,Headphones,2024-08-09,94.25,472 Anderson Plaza Suite 088
113,mark43@mgrimes@example.org,USB Hub,2025-05-12,56.46,51678 Hood Vista
114,rachel57@kimberlyvillarreal@example.org,Laptop,2025-01-26,968.7,137 Tammy Ville
115,russell.chaney14@yahoo.com,Laptop,2023-07-06,1469.88,991 Oconnor Crescent
116,juan.crawford88@yahoo.com,Mouse,2023-07-31,33.24,09285 Jennifer Burgs Suite 547
117,srivera@hotmail.com,Tablet,2023-05-22,764.14,079 Ashley Groves Suite 627
118,JOSE.RODRIGUEZ@HOTMAIL.COM,External Hard Drive,2024-12-09,172.84,9956 Stephanie Spur Suite 681
119,derrick@mosley-brooks.org,Keyboard,2024-07-24,121.08,9077 Kendra Underpass Apt. 492
120,joseph.taylor24@hotmail.com,Laptop,2025-02-22,1460.26,19259 Nunez Spurs
121,richard55@barnesmichael@example.com,Keyboard,2023-12-17,67.67,2750 Donna Camp Apt. 947
122,ublair@example.net,Printer,2024-10-02,91.21,4663 Katherine Center Suite 723
123,colleen.mullins9@yahoo.com,Webcam,2023-08-16,88.11,1477 Vega Cape Apt. 483
124,daniel09@example.net,Smartwatch,2024-02-18,403.36,5852 Cassie Causeway
125,ryan@carlson.com,Gaming Console,2025-02-18,368.28,107 Reeves Gardens Suite 127
126,AMANDA.SIMON15@HOTMAIL.COM,Smartphone,2023-12-24,786.01,295 Cynthia Park Apt. 865
127,christopher94@bakerbrandon@example.net,Smartwatch,2023-11-09,221.7,8456 Sabrina Flats Apt. 658
128,noah_smith17@yahoo.com,Software License,2023-11-25,264.41,79126 Brittany Unions Suite 757
129,LESLIE.HOWELL@YAHOO.COM,Router,2024-11-17,78.75,3411 Jeffrey Island Apt. 201
130,JESSICA.MARTIN64@HOTMAIL.COM,Smartphone,2023-06-28,1013.38,959 Jared Ferry
131,brenda@miller.com,Webcam,2023-06-06,84.07,0494 Anderson Shoals
132,ganderson@hotmail.com,Headphones,2024-03-28,184.89,155 Brandt Drive
133,anthony@garcia.com,Gaming Console,2025-02-08,391.57,1892 Lopez Fork Suite 983
134,brandon.stevenson@gmail.com,External Hard Drive,2024-04-18,229.63,86662 Robert Radial
135,isaac84@example.org,Router,2023-11-26,113.0,827 Flores Centers Apt. 023
136,hector_green@yahoo.com,External Hard Drive,2023-10-30,105.86,0985 April Glen Apt. 569
137,sfinley@hotmail.com,Router,2025-03-22,241.99,46656 William Cliff
138,sherry32@sanchezjoseph@example.net,Printer,2024-10-08,81.77,312 Scott Junction
139,troy.ford7@gmail.com,USB Hub,2025-04-23,22.09,54812 Hill Manors
140,JEREMY_COOK38@YAHOO.COM,Software License,2023-07-23,156.59,78613 Julie Land Apt. 285
141,jharding@gmail.com,Smartwatch,2023-11-05,366.96,298 James Way Suite 984
142,brian@perkins-gibson.com,Gaming Console,2023-09-28,411.41,010 Thompson Mission Suite 894
143,garrett88@amanda20@example.com,External Hard Drive,2023-10-13,189.94,23723 Green Ford
144,sandra82@simmonsjulia@example.net,Desk Chair,2024-03-05,112.11,52765 Adrian Isle Suite 426
145,jackie.king@hotmail.com,Printer,2024-12-04,96.08,69967 Torres Branch Apt. 791
146,roger.carter97@yahoo.com,Software License,2023-07-18,180.96,567 Melissa Extensions
147,LARRY.SNYDER@GMAIL.COM,Keyboard,2023-06-20,28.6,17202 Gina Coves Suite 221
148,leslieellis@example.net,Keyboard,2024-11-14,84.73,0788 Anderson Road Apt. 403
149,sheri.nielsen60@yahoo.com,External Hard Drive,2024-06-05,183.7,5727 Jones Vista Apt. 620
150,ashley.ramirez59@yahoo.com,Desk Chair,2024-11-09,372.39,117 Mcbride Wall Suite 910
151,CHRISTOPHER.MYERS@GMAIL.COM,External Hard Drive,2024-12-02,193.3,332 Kelly Common Suite 311
152,marcus.hancock@gmail.com,USB Hub,2023-08-06,26.94,192 Ruth Burgs Apt. 648
153,CHRISTIAN@SMITH.INFO,Router,2024-06-19,242.85,20543 Wells Tunnel Apt. 535
154,sharon.carney3@hotmail.com,Software License,2023-08-24,459.81,64898 Kim Villages
155,wendy.reed@yahoo.com,Mouse,2025-04-20,22.76,93249 Kathryn Courts Apt. 782
156,pbrown@gmail.com,Desk Chair,2024-06-13,123.9,713 Evans Shores Suite 364
157,pamela.vance@hotmail.com,Gaming Console,2024-09-27,307.63,7435 Knapp Ford Apt. 800
158,jharding@gmail.com,Webcam,2024-09-25,31.61,00267 Deborah Brook
159,matthew_davis@gmail.com,Router,2024-02-17,180.38,597 Joseph Causeway
160,andrea.moran@gmail.com,Router,2024-11-09,185.16,96668 Walter Spur Apt. 908
161,eric.pace93@hotmail.com,Desk Chair,2024-08-20,127.45,282 Martin Square Suite 885
162,nancy_salas22@gmail.com,Tablet,2023-10-16,252.45,8375 Rangel Row Apt. 504
163,jennifer_wells@gmail.com,Smartphone,2024-09-20,415.68,3888 Daniel Turnpike
164,shawn@davis-lewis.com,Router,2025-04-08,137.16,651 Andrea Lights
165,madison.harris@yahoo.com,Desk Chair,2024-02-09,309.67,2884 Gonzales Landing
166,mphillips@hotmail.com,Gaming Console,2024-04-11,357.83,986 Tyler Field
167,csosa@yahoo.com,Headphones,2023-10-18,284.76,8749 Juarez Highway Suite 106
168,michael.brown@gmail.com,External Hard Drive,2023-12-17,146.64,47529 Ethan Viaduct Apt. 523
169,gutierrezerin@example.net,Printer,2023-11-09,190.03,00817 Sullivan Estate Suite 106
170,isabella58@brandonmiller@example.org,Smartwatch,2024-04-19,213.65,65470 Alexander Mount Suite 983
171,ANDREW.CASTILLO82@YAHOO.COM,Tablet,2023-11-27,755.02,06036 Perez Trace Suite 053
172,gregory.miller11@hotmail.com,Keyboard,2025-04-05,88.37,970 Lewis Inlet Apt. 295
173,tonya.dawson@hotmail.com,Webcam,2024-08-03,37.4,693 Shelby Meadow Apt. 977
174,rebecca@scott.com,Mouse,2024-09-28,44.29,6931 Mark Gateway
175,jeanette98@coltonprice@example.com,Monitor,2023-06-01,469.86,4088 Marsh Camp Apt. 400
176,keith@anderson-ross.com,Smartwatch,2025-05-12,146.4,88900 Joseph Dam Suite 829
177,gloria.forbes25@gmail.com,Webcam,2024-07-24,115.45,026 Martin Fall
178,julie.brock@hotmail.com,Mouse,2023-12-15,40.44,8944 Maynard Circles Apt. 049
179,leah.thomas@yahoo.com,External Hard Drive,2024-07-22,146.55,3452 Sanchez Walk
180,jgarner@hotmail.com,Printer,2023-09-22,277.94,153 Robert Trail
181,jason.giles22@gmail.com,USB Hub,2024-06-27,53.6,8907 Michelle Trail Apt. 621
182,sarah44@david47@example.org,Software License,2025-02-28,369.8,0327 Ryan Roads
183,patrick97@robert38@example.com,Mouse,2023-09-10,28.5,337 Jaime Pass
184,jill@king-may.com,USB Hub,2024-04-08,28.49,178 Colin Rapid Suite 162
185,julie@smith.com,External Hard Drive,2024-11-26,229.6,85625 Ray Drive Suite 498
186,JEREMY.FOSTER@GMAIL.COM,Router,2025-04-22,162.81,58370 Powell Expressway Suite 140
187,stephanie.harmon26@yahoo.com,Webcam,2025-03-10,114.89,5076 Freeman Mountain
188,katelyn.cooper93@hotmail.com,USB Hub,2024-07-27,45.59,0944 Howell Haven Suite 464
189,lisa.moss@hotmail.com,Webcam,2025-03-24,97.47,0356 Jordan Views Apt. 724
190,ortizcharles@example.com,Smartwatch,2023-06-26,433.59,8879 Edward Terrace Suite 005
191,AARON.WILLIAMS@GMAIL.COM,Webcam,2024-02-25,34.7,289 Ali Rapid
192,pedro.sanchez96@hotmail.com,Headphones,2025-03-08,270.53,2906 Phillips Route
193,robertjackson@example.net,Software License,2023-08-19,233.13,9757 Whitehead Ridges
194,rwood@yahoo.com,USB Hub,2023-10-28,25.33,19355 Le Mills
195,SHERRY32@SANCHEZJOSEPH@EXAMPLE.NET,Laptop,2024-07-07,1958.01,868 Garrison Turnpike Suite 949
196,thomas@moore.net,Gaming Console,2023-09-13,509.24,92483 Taylor Parkway
197,ssmith@gmail.com,Tablet,2024-11-07,550.64,092 Martinez Rest
198,bretthenry@example.net,Webcam,2024-04-24,44.3,7172 Miller Burg
199,alejandro77@example.com,Headphones,2024-02-18,119.82,32044 Danny Cove Apt. 302
200,melliott@gmail.com,Printer,2023-06-06,331.62,7928 Autumn Court Apt. 789
201,kristen_ford16@hotmail.com,Laptop,2024-07-23,1347.36,673 Clarke Underpass
202,antonio.hunt95@gmail.com,Keyboard,2024-08-08,118.92,38815 Long Square Apt. 197
203,sonya@anderson-clark.com,Gaming Console,2024-09-20,318.37,216 Gomez Station
204,julie.shelton@gmail.com,Webcam,2024-06-15,40.08,57645 Danny Road Apt. 172
205,joseph.williams@yahoo.com,Software License,2023-11-27,236.7,60195 Wolf Falls
206,sarah.newton@yahoo.com,Printer,2023-05-26,266.87,4312 Farmer Oval Apt. 595
207,rachel.carr43@gmail.com,Smartphone,2024-07-25,901.42,644 Cook Lock Suite 191
208,jeremy7@jarednash@example.com,Keyboard,2024-01-13,106.92,243 Jennifer Cliffs
209,jennifer_wells@gmail.com,Monitor,2024-03-07,555.64,723 Ryan Loaf
210,jennifer_wright25@hotmail.com,Laptop,2024-12-10,1664.42,4259 Smith Meadow Suite 569
211,alexander65@cjacobs@example.com,Smartphone,2024-05-04,602.26,05861 Victoria Radial Suite 273
212,SARAH.RUIZ@HOTMAIL.COM,Keyboard,2024-04-21,55.45,42012 Adrian Port Suite 836
