session_id,user_email,page_visited,visit_timestamp,time_spent_seconds
S1,john.doe@example.com,/products/laptop,2023-04-20 10:00:00,120
S2,JANE.SMITH@EXAMPLE.COM,/homepage,2023-04-22 11:00:00,60
S3,john.doe@example.com,/cart,2023-04-20 10:02:00,180
S16967,angelasmith@example.org,/products/item/1932,2024-11-18 21:09:11,475
S16967,ANGELASMITH@EXAMPLE.ORG,/homepage,2025-03-30 16:56:01,233
S16967,angelasmith@example.org,/signup,2025-05-13 18:06:12,443
S16970,laura.marshall@yahoo.com,/account/orders,2024-07-15 22:02:32,340
S16971,laura.marshall@yahoo.com,/account/orders,2024-07-04 11:09:25,572
S16972,kristin.moore@yahoo.com,/products/category/books,2024-09-12 19:29:16,364
S16973,melissa.dds49@hotmail.com,/blog,2025-02-21 22:12:02,309
S16979,melissa.dds49@hotmail.com,/about-us,2025-03-28 19:44:30,82
S16975,swilliamson@gmail.com,/products/item/4372,2024-06-22 11:23:17,46
S16975,swilliamson@gmail.com,/blog/article/293,2024-12-29 15:54:01,385
S16992,swilliamson@gmail.com,/products/item/3384,2024-08-31 08:24:09,541
S16977,swilliamson@gmail.com,/checkout,2025-04-12 19:44:49,140
S16979,jared.diaz32@gmail.com,/blog,2024-12-01 05:01:47,589
S16973,jared.diaz32@gmail.com,/products,2025-02-04 15:43:41,298
S16976,jared.diaz32@gmail.com,/account/orders,2025-03-15 06:11:43,258
S16982,justin@spencer.com,/products/category/electronics,2024-11-22 07:42:47,501
S16983,william.rodriguez57@gmail.com,/products/category/electronics,2025-01-12 01:02:47,390
S16987,william.rodriguez57@gmail.com,/search?q=hour+such,2024-07-18 22:41:18,67
S16979,william.rodriguez57@gmail.com,/homepage,2025-03-23 09:19:58,29
S16979,william.rodriguez57@gmail.com,/search?q=month+color,2024-11-08 14:54:10,425
S16987,stephanie40@stantonmichael@example.net,/products/category/electronics,2024-11-14 17:05:43,223
S16988,jjohnson@yahoo.com,/blog,2024-10-08 03:07:47,360
S16989,veronica.floyd31@hotmail.com,/account/profile,2024-12-26 03:28:04,415
S16987,veronica.floyd31@hotmail.com,/contact-us,2024-08-13 00:42:57,266
S16999,veronica.floyd31@hotmail.com,/login,2024-09-23 05:15:19,518
S16992,kristina.ferguson25@gmail.com,/search?q=including+approach,2024-07-16 17:05:51,423
S16979,kristina.ferguson25@gmail.com,/checkout,2024-05-19 01:03:01,595
S17032,kristina.ferguson25@gmail.com,/contact-us,2024-09-21 10:10:40,148
S16995,regina.russell@gmail.com,/blog/article/329,2024-07-06 20:50:11,47
S16982,regina.russell@gmail.com,/login,2024-06-09 11:51:46,214
S16997,christina.oconnor25@hotmail.com,/cart,2024-12-31 18:18:10,504
S17017,christina.oconnor25@hotmail.com,/products,2024-06-21 03:57:02,102
S16999,ashley.maddox@hotmail.com,/blog/article/130,2024-08-08 18:01:19,550
S17000,lisa.moss@hotmail.com,/products/item/7504,2024-05-17 04:42:41,282
S17000,lisa.moss@hotmail.com,/account/orders,2025-04-11 08:21:46,436
S16988,lisa.moss@hotmail.com,/blog/article/281,2024-06-16 19:18:38,293
S17003,christopher.sawyer84@hotmail.com,/signup,2024-11-04 13:14:30,13
S17057,christopher.sawyer84@hotmail.com,/search?q=however+from,2024-12-12 19:48:19,276
S16981,christopher.sawyer84@hotmail.com,/products/category/books,2024-09-01 21:18:45,238
S17043,christopher.sawyer84@hotmail.com,/blog/article/280,2025-04-06 02:26:40,160
S17007,jeffrey39@amysmith@example.com,/checkout,2024-09-30 13:30:00,88
S17017,jeffrey39@amysmith@example.com,/products/category/electronics,2024-10-20 01:50:52,539
S17009,doris.cook22@yahoo.com,/products,2024-11-16 13:19:29,438
S17037,doris.cook22@yahoo.com,/cart,2024-07-13 16:09:32,550
S17011,kathleen.graham65@gmail.com,/blog/article/98,2024-10-04 01:50:55,519
S17055,kathleen.graham65@gmail.com,/signup,2025-02-25 12:23:02,214
S17059,kathleen.graham65@gmail.com,/contact-us,2025-01-09 15:34:00,202
S17012,kathleen.graham65@gmail.com,/search?q=finally+network,2024-11-27 16:44:53,219
S17015,laura.fields81@hotmail.com,/support,2025-04-26 19:57:04,69
S16991,laura.fields81@hotmail.com,/checkout,2024-10-02 18:58:55,288
S17027,laura.fields81@hotmail.com,/login,2024-07-26 14:29:20,322
S17052,laura.fields81@hotmail.com,/account/profile,2024-10-24 10:27:40,496
S17019,eric41@terri48@example.net,/blog,2025-05-01 08:36:53,293
S17032,eric41@terri48@example.net,/faq,2025-04-25 19:33:32,399
S17021,tyler9@jade48@example.org,/checkout,2025-04-16 12:44:21,240
S17022,phyllis.kim85@yahoo.com,/products/item/4096,2024-05-25 18:14:48,157
S17023,gary.edwards46@gmail.com,/products/category/electronics,2025-03-05 21:33:10,396
S17011,gary.edwards46@gmail.com,/products/category/electronics,2025-03-16 01:44:17,537
S17025,regina_vance@yahoo.com,/blog/article/171,2025-03-24 23:11:35,401
S16995,regina_vance@yahoo.com,/login,2024-10-13 23:05:10,253
S17027,simmonsdwayne@example.org,/products/item/1728,2024-10-18 16:59:31,141
S17057,SIMMONSDWAYNE@EXAMPLE.ORG,/about-us,2024-11-20 17:14:19,384
S17047,simmonsdwayne@example.org,/signup,2025-01-14 11:44:30,323
S17122,simmonsdwayne@example.org,/contact-us,2024-11-28 06:45:05,539
S17030,simmonsdwayne@example.org,/cart,2025-04-18 06:08:24,577
S17031,simmonsdwayne@example.org,/cart,2024-11-06 00:08:56,553
S17033,mr..floyd@gmail.com,/login,2024-05-31 06:12:04,287
S17015,MR..FLOYD@GMAIL.COM,/products/category/books,2024-07-23 16:18:47,129
S17035,brian.johnson@hotmail.com,/products/category/books,2024-11-16 20:00:39,40
S17082,brian.johnson@hotmail.com,/products/item/2177,2025-02-07 13:06:24,438
S17107,BRIAN.JOHNSON@HOTMAIL.COM,/login,2024-09-05 04:48:02,591
S17018,brian.johnson@hotmail.com,/account/profile,2025-05-12 11:41:57,78
S17111,brian.johnson@hotmail.com,/account/orders,2025-04-09 10:26:39,461
S16995,brian.johnson@hotmail.com,/faq,2024-12-29 13:56:13,502
S17115,brian.johnson@hotmail.com,/checkout,2024-07-05 06:56:54,274
S17152,brian.johnson@hotmail.com,/checkout,2024-10-18 16:30:22,581
S17043,amber.williams76@gmail.com,/contact-us,2024-09-29 04:38:52,242
S17043,amber.williams76@gmail.com,/contact-us,2024-09-25 19:09:59,572
S17162,amber.williams76@gmail.com,/account/profile,2024-09-22 02:26:10,200
S17123,amber.williams76@gmail.com,/account/profile,2024-10-04 02:24:04,357
S17047,monica.thompson51@yahoo.com,/homepage,2024-06-29 08:23:26,22
S17048,monica.thompson51@yahoo.com,/account/profile,2024-12-28 15:14:39,367
S17015,monica.thompson51@yahoo.com,/about-us,2024-07-08 08:25:19,105
S16999,monica.thompson51@yahoo.com,/faq,2024-07-24 04:21:15,367
S17051,mwhite@hotmail.com,/signup,2025-01-14 17:16:10,321
S17035,mwhite@hotmail.com,/products/item/4685,2024-10-30 21:08:54,347
S17023,mwhite@hotmail.com,/contact-us,2025-01-22 12:12:56,31
S17072,mwhite@hotmail.com,/faq,2025-01-08 15:12:17,501
S17055,keith@anderson-ross.com,/blog/article/104,2024-12-24 18:49:39,332
S17054,keith@anderson-ross.com,/login,2025-03-10 17:45:03,85
S17057,jennifer.md94@yahoo.com,/about-us,2025-02-13 12:25:36,479
S17003,jennifer.md94@yahoo.com,/products/category/electronics,2024-06-29 03:37:22,592
S17059,robert.gonzalez47@gmail.com,/cart,2025-02-24 17:31:11,352
S17082,robert.gonzalez47@gmail.com,/blog,2024-07-25 22:44:36,32
S17122,robert.gonzalez47@gmail.com,/checkout,2024-05-26 22:25:10,279
S17036,robert.gonzalez47@gmail.com,/faq,2025-03-02 23:35:43,26
S17063,michael34@tara70@example.com,/cart,2025-04-13 03:06:30,355
S17015,michael34@tara70@example.com,/blog/article/86,2025-04-18 15:47:27,508
S17065,benjamin.hinton85@yahoo.com,/products/category/books,2024-09-25 19:01:37,21
S17039,benjamin.hinton85@yahoo.com,/about-us,2024-11-03 08:47:13,581
S17067,erik.kidd44@yahoo.com,/about-us,2024-10-09 21:23:50,214
S17217,erik.kidd44@yahoo.com,/account/profile,2025-01-10 12:37:04,540
S17137,erik.kidd44@yahoo.com,/products/item/1330,2024-07-31 14:30:32,348
S17069,erik.kidd44@yahoo.com,/signup,2024-10-16 22:30:02,298
S17071,jharding@gmail.com,/blog/article/440,2024-12-26 09:36:42,444
S17227,jharding@gmail.com,/login,2025-03-09 00:45:13,409
S17073,zrodriguez@example.org,/signup,2024-09-05 15:11:07,95
S17073,zrodriguez@example.org,/support,2024-07-17 06:13:54,232
S17075,eric60@kevinflores@example.net,/about-us,2024-12-20 09:49:31,505
S17030,eric60@kevinflores@example.net,/login,2024-07-17 21:14:09,182
S17077,BCOLLINS@YAHOO.COM,/signup,2025-03-20 18:58:19,211
S17077,bcollins@yahoo.com,/login,2024-11-10 23:18:57,481
S17079,andrea.smith19@yahoo.com,/blog,2024-09-02 09:33:39,47
S17247,andrea.smith19@yahoo.com,/search?q=upon+sort,2025-04-24 08:58:43,585
S17081,,/login,2024-11-01 02:18:15,89
S17082,laura20@wosborne@example.net,/blog/article/127,2025-01-07 23:22:39,126
S17013,laura20@wosborne@example.net,/support,2024-09-22 14:36:54,431
S17084,victor@hernandez-flores.com,/account/profile,2025-01-18 19:13:23,109
S17085,victor@hernandez-flores.com,/products/category/books,2024-07-27 22:14:49,426
S17025,victor@hernandez-flores.com,/search?q=people+to,2024-06-13 09:40:21,288
S17087,raymond.sanders45@yahoo.com,/account/profile,2025-01-17 19:03:18,286
S17147,raymond.sanders45@yahoo.com,/support,2024-08-06 23:14:41,336
S17089,catherine.roth89@yahoo.com,/products/item/1497,2024-08-01 10:09:33,494
S17015,catherine.roth89@yahoo.com,/faq,2025-01-11 23:06:27,192
S17091,mrs..dvm@yahoo.com,/faq,2024-10-10 19:32:59,357
S17092,wrightpatrick@example.net,/search?q=study+poor,2024-06-29 18:29:41,341
S17156,wrightpatrick@example.net,/signup,2025-03-10 11:35:01,195
S17093,wrightpatrick@example.net,/checkout,2024-05-21 13:51:57,335
S17095,elizabeth.montoya@hotmail.com,/blog/article/132,2024-10-07 22:14:33,158
S17223,elizabeth.montoya@hotmail.com,/blog,2024-09-07 18:15:49,70
S17097,christopher.king@hotmail.com,/search?q=focus+military,2025-03-22 22:16:56,322
S17182,christopher.king@hotmail.com,/signup,2024-12-08 05:09:28,285
S17099,james@wood.com,/about-us,2024-09-25 10:04:56,438
S17231,james@wood.com,/about-us,2024-09-06 16:43:04,21
S17019,james@wood.com,/account/profile,2024-07-24 13:46:57,75
